"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","PL41","Greater Poland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,93.6,,
"2","Large regions (TL2)","PL42","West Pomerania","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,87.3,,
"2","Large regions (TL2)","PL42","West Pomerania","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,92.2,,
"2","Large regions (TL2)","PL43","Lubusz","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,83.9,,
"2","Large regions (TL2)","PL43","Lubusz","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,89.1,,
"2","Large regions (TL2)","PL51","Lower Silesia ","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,90.2,,
"2","Large regions (TL2)","PL51","Lower Silesia ","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,93.8,,
"1","Country","ITA","Italy","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,88.49,,
"2","Large regions (TL2)","ITC1","Piedmont","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,88.01,,
"2","Large regions (TL2)","ITC2","Aosta Valley","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,90.58,,
"2","Large regions (TL2)","ITC3","Liguria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,88.85,,
"2","Large regions (TL2)","ITC4","Lombardy","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,90.66,,
"2","Large regions (TL2)","ITF1","Abruzzo","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,87.3,,
"2","Large regions (TL2)","ITF2","Molise","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,84.14,,
"2","Large regions (TL2)","ITF3","Campania","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,87.18,,
"2","Large regions (TL2)","ITF4","Apulia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,82.97,,
"2","Large regions (TL2)","ITF5","Basilicata","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,84.95,,
"2","Large regions (TL2)","ITF6","Calabria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,83.65,,
"2","Large regions (TL2)","ITG1","Sicily","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,83.43,,
"2","Large regions (TL2)","ITG2","Sardinia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,88.52,,
"2","Large regions (TL2)","ITH1","Province of Bolzano-Bozen","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,88.91,,
"2","Large regions (TL2)","ITH2","Province of Trento","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,91.72,,
"2","Large regions (TL2)","ITH3","Veneto","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,89.77,,
"2","Large regions (TL2)","ITH4","Friuli-Venezia Giulia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,90.26,,
"2","Large regions (TL2)","ITH5","Emilia-Romagna","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,92.4,,
"2","Large regions (TL2)","ITI1","Tuscany","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,89.51,,
"2","Large regions (TL2)","ITI2","Umbria","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,87.26,,
"2","Large regions (TL2)","ITI3","Marche","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,86.64,,
"2","Large regions (TL2)","ITI4","Lazio","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,91.16,,
"2","Large regions (TL2)","PL52","Opole region","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,89.5,,
"2","Large regions (TL2)","PL52","Opole region","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,87.4,,
"2","Large regions (TL2)","PL61","Kuyavian-Pomerania","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,89.5,,
